Date,Result,Hero,Duration,KDA
1/6/15,Won ,Windranger,35:11:00,10/2/07
1/6/15,Won ,Beastmaster,38:50:00,10/4/18
31/5/15,Won ,Naga Siren,48:31:00,13/4/21
31/5/15,Won ,Leshrac,33:51:00,7/7/13
31/5/15,Lost,Naga Siren,43:44:00,5/8/08
31/5/15,Won ,Windranger,33:42:00,14/1/12
31/5/15,Lost,Queen of Pain,21:56,3/4/03
16/7/16,Won ,Leshrac,42:23:00,9/9/22
31/5/15,Won ,Naga Siren,43:11:00,5/2/19
31/5/15,Lost,Beastmaster,38:23:00,2/12/09
31/5/15,Lost,Keeper of the Light,1:08:28,3/9/24
30/5/15,Lost,Necrophos,29:02:00,5/10/08
30/5/15,Won ,Naga Siren,44:24:00,8/3/13
30/5/15,Lost,Shadow Fiend,38:48:00,6/8/12
30/5/15,Won ,Naga Siren,36:32:00,4/1/10
30/5/15,Lost,Shadow Fiend,47:56:00,5/10/12
29/5/15,Won ,Naga Siren,37:45:00,4/1/19
27/5/15,Won ,Naga Siren,57:40:00,9/1/15
27/5/15,Won ,Magnus,55:07:00,10/8/26
26/5/15,Lost,Magnus,53:49:00,20/10/13
26/5/15,Won ,Shadow Fiend,29:21:00,10/8/04
26/5/15,Lost,Templar Assassin,36:31:00,4/10/03
25/5/15,Won ,Shadow Fiend,18:08,6/0/4
21/5/15,Won ,Templar Assassin,40:19:00,4/2/10
21/5/15,Won ,Earth Spirit,26:11:00,2/2/21
20/5/15,Won ,Templar Assassin,33:44:00,8/2/13
20/5/15,Lost,Templar Assassin,40:32:00,5/7/09
20/5/15,Won ,Templar Assassin,40:35:00,11/7/06
19/5/15,Lost,Ember Spirit,29:35:00,6/2/10
19/5/15,Won ,Windranger,1:12:13,8/10/11
19/5/15,Won ,Ember Spirit,37:31:00,8/4/15
19/5/15,Lost,Magnus,20:12,0/7/7
19/5/15,Won ,Viper,55:31:00,11/2/27
18/5/15,Won ,Phantom Assassin,34:56:00,6/2/05
17/5/15,Won ,Beastmaster,30:13:00,8/4/19
17/5/15,Lost,Magnus,45:22:00,3/6/14
16/5/15,Won ,Tusk,41:21:00,5/5/26
16/5/15,Lost,Magnus,30:42:00,1/8/07
14/5/15,Won ,Puck,34:40:00,7/5/13
13/5/15,Won ,Dragon Knight,28:21:00,9/2/14
13/5/15,Won ,Tusk,43:06:00,2/5/21
12/5/15,Won ,Tusk,14:08,2/0/9
12/5/15,Won ,Shadow Fiend,7:33,1/1/01
12/5/15,Won ,Magnus,34:26:00,5/2/25
12/5/15,Won ,Spectre,35:20:00,7/0/19
12/5/15,Lost,Bane,52:31:00,5/9/09
12/5/15,Lost,Warlock,41:06:00,2/8/08
12/5/15,Won ,Tusk,28:34:00,7/3/14
12/5/15,Lost,Naga Siren,27:08:00,4/2/03
12/5/15,Lost,Windranger,42:26:00,5/8/09
12/5/15,Won ,Dragon Knight,44:30:00,13/3/09
12/5/15,Won ,Shadow Fiend,50:32:00,7/4/20
11/5/15,Won ,Dragon Knight,36:59:00,6/2/09
10/5/15,Lost,Storm Spirit,1:18:10,8/13/20
10/5/15,Lost,Dragon Knight,41:42:00,8/4/08
10/5/15,Won ,Tusk,26:17:00,9/2/14
